"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Чат","0","Создание чата","0","1","","0"
"0","Авторизация","0","Безопасность","4","0","","0"
"0","Авторизация","0","Регистр email","0","6","","0"
"0","Авторизация","0","UI — отображение элементов","7","0","","0"
"0","Авторизация","0","Страница логина","3","0","","0"
"0","Авторизация","0","Неверные credentials","4","0","","0"
"0","Модели","0","Каждая модель отвечает на запрос","0","9","","0"
"0","Авторизация","0","Пробелы в email / пароле","0","4","","0"
"0","Авторизация","0","Навигация и редиректы","2","0","","0"
"0","Авторизация","0","UX / Accessibility","1","0","","0"
"0","Адаптивность","0","Страница логина","2","0","","0"
"0","Авторизация","0","Негативные — пустые поля","3","0","","0"
"0","Модели","0","Переключение моделей","0","3","","0"
"0","Чат","0","Отправка сообщений","0","4","","0"
"0","Чат","0","Новый чат + проверка списка моделей","0","1","","0"
"0","Чат","0","Сайдбар (desktop)","0","3","","0"
"0","Авторизация","0","Позитивные сценарии","0","3","","0"
"0","Авторизация","0","HTML5 валидация email","3","0","","0"
"0","Адаптивность","0","Авторизованный шелл","0","3","","0"
"0","Авторизация","0","Реальный бэкенд","0","1","","0"
"0","Авторизация","0","Невалидные креды (мок бэкенда)","2","0","","0"
